step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.1539444923400879,0.5,0.0,0.0,-4.803040981292725,-0.00023283202608581632,-0.7488232254981995,0.0,-0.14408588409423828,0.0,2.735809322140792e-11,0.0,6.981074810028076,-4.70539665222168,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.0596327634782021e-11,9.638807113576675e-12,5.401926128634216e-11,4.823647384299967e-11,-1.0596333706314187e-11,0.0,-9.638809715661889e-12,0.1386285275220871,2.575119733810425,-0.05469784140586853,0.08482378721237183,-0.04555315151810646,-0.9778521656990051,0.0,0.0,0.0,0.010549535974860191,0.020783474668860435,0.054843612015247345,-0.06945807486772537,-0.19968053698539734,0.09020701795816422,0.33274248242378235,0.022211236879229546,0.080937959253788,0.25971904397010803,-0.2365390807390213,-0.3678151071071625,-0.4082976281642914,-0.4945715069770813,-0.15772303938865662,-1.0626705884933472,-8.462737083435059,-1.452674388885498,0.23344536125659943,0.972369909286499,-0.1059633418917656,-0.5401926040649414,-0.09638810157775879,-0.1174403727054596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9362283945083618,0.5,0.0,0.0,-5.074743270874023,-0.005629030521959066,-0.023603102192282677,0.0,-0.5444097518920898,0.0,4.617117105309987e-11,0.0,9.276810646057129,-5.377923011779785,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.0259673319246154e-11,1.637238782048467e-11,5.5355092037912e-11,4.871337708212131e-11,-1.025967939077832e-11,0.0,-1.6372389555208144e-11,0.14557205140590668,0.5798020958900452,-0.02699902653694153,0.10603399574756622,0.03190802410244942,-0.958787202835083,0.0,0.0,0.0,0.0055735474452376366,0.01853116601705551,0.07189149409532547,-0.04619140177965164,-0.2620559334754944,-0.0020697619765996933,0.25030291080474854,0.01854609325528145,0.05923854187130928,0.025927413254976273,0.3104366064071655,-0.3391782343387604,-0.4483056962490082,-0.47477442026138306,0.21683214604854584,-1.1220531463623047,-7.015303134918213,-1.1042101383209229,0.3826834261417389,0.9238795638084412,-0.10259679704904556,-0.5535508990287781,-0.1637239009141922,-0.12220939993858337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9987843036651611,0.5,0.0,0.0,-4.969409942626953,-3.414681486901827e-05,-0.004328834358602762,0.0,-0.6981318593025208,0.0,8.398568299150533e-12,0.0,19.528200149536133,-6.021749019622803,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,5.956454079969475e-12,2.4719221461411145e-11,5.5867928339115025e-11,4.969621589245854e-11,-5.956461018863379e-12,0.0,-2.4719221461411145e-11,0.15231047570705414,0.3486163020133972,-0.10970216989517212,0.11373491585254669,0.01560274139046669,-1.0348488092422485,0.0,0.0,0.0,0.020919425413012505,0.0235078614205122,0.07882387191057205,0.029200619086623192,-0.3571533262729645,-0.01965898834168911,0.14598169922828674,0.05928497388958931,-0.047314081341028214,-0.02227325551211834,0.3668346405029297,-0.425682932138443,-0.002255490515381098,-0.52571040391922,0.34250953793525696,-1.595038890838623,-7.446285724639893,-1.0168766975402832,0.5224985480308533,0.8526401519775391,-0.059564609080553055,-0.5586792826652527,-0.24719223380088806,-0.13203778862953186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9996791481971741,0.5,0.0,0.0,-3.2106685638427734,-0.0009421836584806442,-0.024674031883478165,0.0,-0.6981313228607178,0.0,1.4045461842193685e-12,0.0,19.980947494506836,-6.011030673980713,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.0424197312633443e-12,2.913415342309378e-11,5.5761992245884073e-11,4.7867123459388594e-11,-1.0424262364763792e-12,0.0,-2.913416036198768e-11,-0.04600690305233002,0.2990853190422058,0.16606475412845612,0.060133274644613266,-0.036945994943380356,-1.0424479246139526,0.0,0.0,0.0,0.04185328632593155,0.023796504363417625,0.08602982014417648,0.10080303251743317,-0.43931055068969727,-0.02027035877108574,0.16393080353736877,0.11737127602100372,-0.019556239247322083,0.0323072150349617,0.38811632990837097,-0.41799888014793396,0.012005925178527832,0.20299434661865234,0.2486310601234436,-1.480332374572754,-6.542822360992432,0.2595192492008209,0.649448037147522,0.760405957698822,-0.010424261912703514,-0.5576199293136597,-0.2913416028022766,-0.11374682188034058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.9807087182998657,0.5,0.0,0.0,-4.826817989349365,-0.0009013087837956846,-0.011826937086880207,0.0,-0.6981318593025208,0.0,3.3287968735640217e-12,0.0,19.743404388427734,-5.753036022186279,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.088798097503065e-12,3.113997601444929e-11,5.540671046966317e-11,4.399554331957489e-11,3.0887918091304645e-12,0.0,-3.113997948389624e-11,0.15449883043766022,0.3402189612388611,0.012983322143554688,0.03202212229371071,0.017407473176717758,-0.9985385537147522,0.0,0.0,0.0,0.05723002552986145,0.010490542277693748,0.07511977106332779,0.17643241584300995,-0.5167139768600464,-0.02882309816777706,0.2761358320713043,0.0911218672990799,0.015440327115356922,0.014342796988785267,0.3187730312347412,-0.3923335075378418,-0.02354162372648716,0.48429569602012634,0.25821608304977417,-1.3327683210372925,-6.77644681930542,1.3113017082214355,0.760405957698822,0.649448037147522,0.030887918546795845,-0.5540671348571777,-0.31139978766441345,-0.07503107190132141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.7199745774269104,0.5,0.0,0.0,-4.654713153839111,-0.0016234915237873793,-0.02927866205573082,0.0,-0.6981318593025208,0.0,1.5650765405883504e-11,0.0,15.58111572265625,-5.48764705657959,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.933313302480814e-12,3.2303368313613134e-11,5.432021499274242e-11,3.9946487090380955e-11,5.933307230948648e-12,0.0,-3.2303368313613134e-11,-0.04112648963928223,0.8575478196144104,-0.12421882897615433,0.12017270922660828,-0.025571424514055252,-0.9583315849304199,0.0,0.0,0.0,0.07540809363126755,0.019575003534555435,0.09547293186187744,0.20742052793502808,-0.5856326818466187,-0.02368946745991707,0.3710010349750519,0.14366908371448517,0.05283014848828316,0.13907554745674133,0.07199122756719589,-0.36950960755348206,-0.012087992392480373,0.4638005197048187,0.16929417848587036,-1.1448144912719727,-7.476149082183838,2.858896493911743,0.8526401519775391,0.522498607635498,0.05933307483792305,-0.5432021617889404,-0.32303372025489807,-0.03454050421714783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3615007996559143,0.5,0.0,0.0,-3.2938718795776367,-0.0010476118186488748,-0.052220240235328674,0.0,-0.6981313228607178,0.0,3.736966291967292e-11,0.0,6.737086772918701,-5.146768093109131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-7.1148776974172545e-12,3.223354569370507e-11,5.214387949203925e-11,3.567867876141939e-11,7.114870758523351e-12,0.0,-3.223354916315202e-11,0.00950758159160614,1.613966941833496,-0.12689891457557678,0.15126284956932068,-0.03830655664205551,-1.0222084522247314,0.0,0.0,0.0,0.09603629261255264,0.025388600304722786,0.12766331434249878,0.18638530373573303,-0.6694225072860718,-0.03050428442656994,0.466458261013031,0.13443391025066376,0.07094017416238785,0.15163253247737885,-0.14727024734020233,-0.41327324509620667,-0.045560892671346664,0.4952314794063568,0.04471994563937187,-0.7961753606796265,-7.597259044647217,5.110626697540283,0.9238795638084412,0.3826834261417389,0.07114870846271515,-0.5214387774467468,-0.32233548164367676,0.008137613534927368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.7517502903938293,0.5,0.0,0.0,-3.3322229385375977,-0.002476457739248872,-0.046377357095479965,0.0,-0.6981313228607178,0.0,4.094488290085074e-11,0.0,8.81737232208252,-4.8313822746276855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.85007866402243e-12,3.036388501742593e-11,4.9014736713814955e-11,3.0995959271473694e-11,6.850072158809395e-12,0.0,-3.036388848687288e-11,0.04137389361858368,0.9583824276924133,0.1077825278043747,0.1191423088312149,-0.04128534346818924,-0.9905082583427429,0.0,0.0,0.0,0.1440410315990448,0.042244113981723785,0.14386625587940216,0.1467714011669159,-0.7260490655899048,-0.020245734602212906,0.5652117729187012,0.13374848663806915,0.008661163039505482,0.060425806790590286,-0.18793919682502747,-0.0984678789973259,0.0479167103767395,0.4279712736606598,0.017620902508497238,-0.7022883296012878,-8.401138305664062,7.106112957000732,0.972369909286499,0.2334454208612442,0.06850071996450424,-0.49014735221862793,-0.30363887548446655,0.054964810609817505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.7013556957244873,0.5,0.0,0.0,-3.2031848430633545,-0.000346094137057662,-0.009599700570106506,0.0,-0.6981325149536133,0.0,2.7937490862384173e-11,0.0,12.015933990478516,-4.536247730255127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.7910729163446195e-12,2.7205914604477854e-11,4.52200429879035e-11,2.5922427399072134e-11,5.7910668448124536e-12,0.0,-2.7205918073924806e-11,-0.07507756352424622,0.7304628491401672,-0.10257405042648315,0.18868441879749298,0.003347553312778473,-0.9870486259460449,0.0,0.0,0.0,0.16672955453395844,0.05283382534980774,0.16681675612926483,0.10423187166452408,-0.7473944425582886,-0.03155508637428284,0.6640956997871399,0.13879109919071198,0.0623086579144001,0.09740567207336426,-0.1928972601890564,-0.14860442280769348,-0.01329569797962904,0.4853998124599457,0.01152796670794487,-0.7990529537200928,-8.852616310119629,7.970252513885498,0.9969173073768616,0.07845908403396606,0.05791066586971283,-0.45220041275024414,-0.2720591723918915,0.10570010542869568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.6636767387390137,0.5,0.0,0.0,-3.203230619430542,-0.00041872559813782573,-0.0027739396318793297,0.0,-0.6981325149536133,0.0,3.067364418019025e-11,0.0,10.918196678161621,-4.272676944732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.693031553648641e-12,2.3966746989789733e-11,4.104477174804444e-11,2.0763552335822943e-11,4.693025482116475e-12,0.0,-2.3966750459236685e-11,-0.12271416187286377,1.1372578144073486,0.1657484918832779,0.195469930768013,0.04854026809334755,-0.9898627400398254,0.0,0.0,0.0,0.20589272677898407,0.050412967801094055,0.1804874837398529,0.06594584882259369,-0.7783355712890625,-0.028558360412716866,0.760883629322052,0.2397611141204834,0.04921151325106621,0.091680146753788,-0.16943013668060303,-0.21011610329151154,-0.013643038459122181,0.5378724932670593,-0.01347276195883751,-0.8633894920349121,-8.866498947143555,8.492207527160645,0.9969173073768616,-0.07845905423164368,0.04693025350570679,-0.41044771671295166,-0.23966750502586365,0.15728887915611267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
