step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.8639603853225708,0.5,0.0,0.0,-1.7430192232131958,-0.002614634344354272,-0.040015172213315964,0.0,-0.38609978556632996,0.0,7.647963859436224e-12,0.0,18.4207706451416,-5.151514053344727,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.1822236329317093,0.5019338726997375,-0.11254054307937622,0.03208353742957115,-0.034771211445331573,-0.960493266582489,0.0,0.0,0.0,0.007662011310458183,-0.006656702607870102,0.0013035330921411514,-0.10400722175836563,-0.42416465282440186,0.045461930334568024,0.18651556968688965,0.020418966189026833,-0.0008356511825695634,0.05504971742630005,-0.19777072966098785,0.02441457472741604,-0.41128435730934143,0.3370763063430786,-0.27793222665786743,-0.35288307070732117,-1.9172462224960327,0.35201048851013184,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8938210010528564,0.5,0.0,0.0,-1.6073319911956787,-0.1532023698091507,-0.00033949941280297935,0.0,-0.6981318593025208,0.0,4.771209035497881e-12,0.0,19.927940368652344,-5.246960163116455,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06585878133773804,-0.7777339220046997,-0.1956852823495865,-0.0430312342941761,-0.03678586333990097,-0.972888171672821,0.0,0.0,0.0,0.009802928194403648,-0.0008731316775083542,0.005648547783493996,-0.13822679221630096,-0.39355233311653137,-0.03239467740058899,0.24410919845104218,0.06481017172336578,0.007869875989854336,-0.06180969625711441,-0.03879078850150108,0.27660807967185974,-0.013435348868370056,0.28258535265922546,-0.16168522834777832,-0.27411770820617676,-2.0276873111724854,0.3971254825592041,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9959449768066406,0.5,0.0,0.0,-1.6037812232971191,-0.001645260606892407,-0.0025733700022101402,0.0,-0.6981318593025208,0.0,-8.776228875573278e-12,0.0,19.715431213378906,-4.955302715301514,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.1402086764574051,0.03144967555999756,-0.04162716865539551,0.04012933745980263,-0.01730179786682129,-0.9734021425247192,0.0,0.0,0.0,0.019299201667308807,-0.005081932991743088,0.008360059931874275,-0.1576698124408722,-0.3571212887763977,-0.02243695594370365,0.3436574339866638,0.011279672384262085,0.018838513642549515,-0.043554846197366714,-0.14312753081321716,0.09641387313604355,0.02907525934278965,0.391774982213974,-0.2418917715549469,-0.32380685210227966,-1.542954683303833,0.5131823420524597,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9323943257331848,0.5,0.0,0.0,-1.6016947031021118,-0.0016877026064321399,-0.010446356609463692,0.0,-0.6981318593025208,0.0,7.203797020710612e-12,0.0,18.966856002807617,-4.663011074066162,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.05263508856296539,0.2489420622587204,-0.08416315168142319,-0.0005165822803974152,-0.029404178261756897,-1.0008517503738403,0.0,0.0,0.0,0.03062502108514309,-0.0040533458814024925,0.0012342212721705437,-0.19985002279281616,-0.3590005934238434,-0.021032072603702545,0.43879398703575134,0.12061765044927597,0.05213167890906334,0.00605017552152276,-0.24447278678417206,0.020727921277284622,-0.006121438927948475,0.4095068573951721,-0.3083302080631256,-0.3298283815383911,-2.5579264163970947,0.6132712960243225,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.9288825988769531,0.5,0.0,0.0,-1.652418613433838,-0.000891086645424366,-0.003263825783506036,0.0,-0.698133111000061,0.0,1.3369453114031593e-11,0.0,17.864925384521484,-4.68782377243042,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.009679421782493591,0.4391583800315857,0.08940766751766205,0.05971323326230049,0.042984943836927414,-1.0275065898895264,0.0,0.0,0.0,0.04660172760486603,0.011758934706449509,0.009717317298054695,-0.2595149874687195,-0.33785855770111084,-0.018950076773762703,0.3997339904308319,0.09089422225952148,0.04574167728424072,0.011259299702942371,-0.21455326676368713,0.08953093737363815,0.03728215768933296,-0.15298965573310852,-0.2867448031902313,-0.3588620126247406,-2.0658395290374756,0.325305700302124,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8375702500343323,0.5,0.0,0.0,-1.7123769521713257,-0.0002723090583458543,-0.005310007371008396,0.0,-0.6981318593025208,0.0,-2.7187225994790287e-13,0.0,19.36271858215332,-4.4768757820129395,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06775537133216858,-0.6497573852539062,0.0680774599313736,0.014744941145181656,0.04833978787064552,-0.9505485892295837,0.0,0.0,0.0,0.06094525754451752,-0.004384781699627638,0.015613410621881485,-0.2556385099887848,-0.3171137869358063,-0.02458188310265541,0.5086843967437744,0.16231560707092285,0.01684114895761013,-0.0471816323697567,0.047347068786621094,0.21175502240657806,-0.012417388148605824,0.5390542149543762,-0.2570621073246002,-0.2190181016921997,-2.5731282234191895,0.8285169005393982,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.6517119407653809,0.5,0.0,0.0,-3.290963649749756,-0.0013491102727130055,-0.016186818480491638,0.0,-0.6981313228607178,0.0,4.563466033009889e-13,0.0,18.48935317993164,-4.669966697692871,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.17326994240283966,1.1197216510772705,0.06465007364749908,-0.021700486540794373,-0.0032279454171657562,-1.0425857305526733,0.0,0.0,0.0,0.08838838338851929,0.007549934089183807,0.012741638347506523,-0.2978087067604065,-0.30530402064323425,-0.018943123519420624,0.39594680070877075,0.1826850175857544,0.07410811632871628,0.11622840166091919,-0.2246437817811966,-0.11717331409454346,0.0021422207355499268,-0.5240510702133179,-0.3435424864292145,-0.419472873210907,-2.4800219535827637,-0.4214239716529846,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.6564428210258484,0.5,0.0,0.0,-1.6128380298614502,-0.0020557157695293427,-0.013345744460821152,0.0,-0.6981325149536133,0.0,6.65434417637667e-12,0.0,19.498106002807617,-4.5411810874938965,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.1186484843492508,-1.0131386518478394,0.0489383190870285,-0.01297551766037941,-0.033070363104343414,-0.9502478241920471,0.0,0.0,0.0,0.12515515089035034,0.006605068221688271,0.007903551682829857,-0.27644696831703186,-0.29662764072418213,-0.030681602656841278,0.45772114396095276,0.13702057301998138,0.004363548941910267,-0.147194504737854,0.10467492789030075,0.147878959774971,-0.01776096038520336,0.3473229706287384,-0.20223143696784973,-0.2070198655128479,-2.0809035301208496,0.632223904132843,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.7891291975975037,0.5,0.0,0.0,-1.6650149822235107,-0.002905613277107477,-0.0025256569497287273,0.0,-0.6981318593025208,0.0,-9.73056010766804e-12,0.0,19.967069625854492,-4.722845554351807,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.15595485270023346,0.7917104363441467,-0.09485962241888046,-0.021312732249498367,0.025549832731485367,-0.9825652241706848,0.0,0.0,0.0,0.1527329981327057,0.014705153182148933,0.008896451443433762,-0.2943057417869568,-0.2913312613964081,-0.021917572245001793,0.3855041563510895,0.14439833164215088,0.05609506368637085,0.10281353443861008,-0.02932313084602356,-0.16960208117961884,-0.027908075600862503,-0.4431639611721039,-0.29362156987190247,-0.419861763715744,-2.1435933113098145,0.19065634906291962,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.6843437552452087,0.5,0.0,0.0,-3.2127187252044678,-0.0006228869315236807,-0.012127489782869816,0.0,-0.6981318593025208,0.0,2.282021793753586e-12,0.0,19.066936492919922,-4.516097545623779,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.19816331565380096,-0.9475735425949097,-0.16161195933818817,-0.04056311398744583,-0.029490655288100243,-1.0045108795166016,0.0,0.0,0.0,0.1937456578016281,0.0035711918026208878,0.011222578585147858,-0.24976487457752228,-0.30782997608184814,-0.017318500205874443,0.485207200050354,0.15491537749767303,-0.06131496652960777,-0.09334609657526016,0.16443447768688202,0.05981297418475151,-0.046648602932691574,0.5420284867286682,-0.16400155425071716,-0.2449297159910202,-2.4620163440704346,1.2221373319625854,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
