step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0005844889674335718,0.5,0.0,0.0,-5.486384391784668,-4.486682882998139e-05,-0.034222040325403214,0.0,-0.3956633508205414,0.0,3.457022515473973e-11,-5.00000006675716e-11,0.04582753777503967,-4.883747100830078,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.043954864144325256,3.1031105518341064,0.056816622614860535,0.0949450433254242,0.006542179733514786,-1.005436897277832,-1.0,0.0,0.0,0.003473208285868168,0.020179996266961098,0.051890283823013306,-0.1800841987133026,0.07958842068910599,0.03416167199611664,0.49954754114151,0.026717597618699074,0.04763321205973625,0.30418139696121216,-0.3680334687232971,-0.4309050738811493,-0.3533824384212494,-0.5475425720214844,-0.7936018705368042,-0.36131447553634644,-1.6171108484268188,-0.21634356677532196,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9491778612136841,0.5,0.0,0.0,-3.457933187484741,-0.02540525421500206,-0.030960096046328545,0.0,-0.6981318593025208,0.0,3.642300003270371e-11,-5.00000006675716e-11,2.8385822772979736,-5.042750835418701,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0447649210691452,-1.1229071617126465,-0.1177227571606636,0.08249567449092865,0.021031063050031662,-0.9847514629364014,-1.0,0.0,0.0,0.007450548931956291,0.013561377301812172,0.048476219177246094,-0.1900702565908432,0.07505522668361664,-0.022111184895038605,0.6089127063751221,0.02432383969426155,-0.06450331211090088,-0.09170558303594589,0.03177487850189209,0.3011969029903412,0.029310006648302078,0.4791080951690674,-0.2051321268081665,0.32588496804237366,-1.613286018371582,1.2927805185317993,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0013673274079337716,0.5,0.0,0.0,-4.060139179229736,-0.005112187471240759,-0.06539976596832275,0.0,-0.698133111000061,0.0,8.212569513332824e-12,-5.00000006675716e-11,0.46703630685806274,-5.059624671936035,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.017122343182563782,2.811769962310791,0.02876584231853485,0.13528649508953094,0.005422007292509079,-0.9795616865158081,-1.0,0.0,0.0,0.02488047443330288,0.018777085468173027,0.08341034501791,-0.2610307037830353,0.05714727193117142,-0.029347484931349754,0.5031689405441284,0.09761138260364532,0.029532968997955322,0.2642519176006317,-0.4469631314277649,-0.3021939694881439,-0.028930826112627983,-0.5146713256835938,-0.6889363527297974,-0.2303319126367569,-3.0201165676116943,-0.7115551233291626,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9733261466026306,0.5,0.0,0.0,-1.7891360521316528,-0.004843034315854311,-0.027117904275655746,0.0,-0.6981318593025208,0.0,3.0330120359689516e-11,-5.00000006675716e-11,4.139494895935059,-5.348159313201904,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.04205383360385895,-1.1121703386306763,0.002404540777206421,0.11329276859760284,0.008597142994403839,-1.0139050483703613,-1.0,0.0,0.0,0.030755287036299706,0.018525894731283188,0.0817558616399765,-0.2716308832168579,0.08121291548013687,-0.032535918056964874,0.4043771028518677,0.12020058929920197,-0.07852017134428024,-0.11272402107715607,0.06515903770923615,0.3299686908721924,-0.01771579496562481,-0.4905729293823242,-0.28568100929260254,0.3543074429035187,-1.8265937566757202,0.1732475906610489,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.037340328097343445,0.5,0.0,0.0,-3.706617593765259,-0.00021689888671971858,-0.025621280074119568,0.0,-0.6981318593025208,0.0,-8.803287959713302e-12,-5.00000006675716e-11,3.7490968704223633,-5.5900702476501465,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.10972724854946136,1.4795359373092651,0.1264958530664444,0.08972921967506409,0.031193066388368607,-1.009783148765564,-1.0,0.0,0.0,0.05835764855146408,0.02414851076900959,0.11419474333524704,-0.3389885723590851,0.09409736841917038,-0.01668277196586132,0.30960625410079956,0.10700245201587677,0.05208389833569527,0.1624084711074829,-0.43078455328941345,-0.045988861471414566,-0.03759032487869263,-0.5216710567474365,-0.7440516948699951,0.07183807343244553,-3.1895177364349365,-0.47070419788360596,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.4724687933921814,0.5,0.0,0.0,-3.209501028060913,-0.0009475177503190935,-0.00753918057307601,0.0,-0.6981318593025208,0.0,2.17139015101786e-11,-5.00000006675716e-11,2.664423704147339,-5.976229667663574,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08739005029201508,-0.09959462285041809,-0.09163602441549301,0.1006309986114502,-0.045867811888456345,-1.0327825546264648,-1.0,0.0,0.0,0.07690603286027908,0.0235819723457098,0.11398332566022873,-0.3944043219089508,0.13765037059783936,-0.024297699332237244,0.1999635249376297,0.09187217801809311,-0.012415379285812378,0.017443234100937843,-0.1446181982755661,0.22466878592967987,0.008440417237579823,-0.5498619079589844,-0.45797833800315857,0.25202476978302,-2.3957624435424805,-0.5685070157051086,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3867313861846924,0.5,0.0,0.0,-3.212573289871216,-0.00022258225362747908,-0.0008771115099079907,0.0,-0.7452863454818726,0.0,-4.529141384851387e-12,-5.00000006675716e-11,7.739774703979492,-6.487320899963379,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08245407044887543,0.12098203599452972,-0.15575149655342102,0.14083163440227509,-2.960488200187683e-05,-1.0329351425170898,-1.0,0.0,0.0,0.10188519209623337,0.030920283868908882,0.12429379671812057,-0.43208247423171997,0.16790121793746948,-0.030506053939461708,0.10439233481884003,0.16337950527668,-0.01105088647454977,-0.01540570892393589,-0.16446860134601593,0.2259722799062729,0.01331870537251234,-0.521205723285675,-0.4900800883769989,0.23591136932373047,-2.6660921573638916,-0.6840181946754456,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.7490715980529785,0.5,0.0,0.0,-3.2702889442443848,-0.0008107900503091514,-0.0007218047976493835,0.0,-1.2434381246566772,0.0,-1.000896501096582e-11,-5.00000006675716e-11,13.575146675109863,-7.137267112731934,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.16457615792751312,-0.7811396718025208,-0.11765793710947037,0.1364276111125946,0.02937738224864006,-0.9719145894050598,-1.0,0.0,0.0,0.14152182638645172,0.01969706080853939,0.11812391132116318,-0.4459626078605652,0.21316483616828918,-0.019087854772806168,0.002891932614147663,0.1677931845188141,0.013575148768723011,-0.10138503462076187,0.02925979532301426,0.1708110123872757,-0.015751913189888,-0.4567716717720032,-0.3729765713214874,0.26868805289268494,-2.4962635040283203,-0.8529890775680542,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.28238195180892944,0.5,0.0,0.0,-3.2369844913482666,-0.0005954073276370764,-0.001947740907780826,0.0,-1.396181583404541,0.0,-1.138464322814059e-11,-5.00000006675716e-11,8.709064483642578,-7.344462871551514,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06658196449279785,0.2942485213279724,-0.18460167944431305,0.10591758787631989,-0.047925710678100586,-0.962632954120636,-1.0,0.0,0.0,0.1752653419971466,0.02566750906407833,0.10642864555120468,-0.444728821516037,0.234198197722435,-0.024381916970014572,-0.017545606940984726,0.20505233108997345,-0.017330357804894447,0.03831632807850838,-0.05546009540557861,-0.03967895731329918,0.027289748191833496,-0.010154536925256252,-0.4285598695278168,0.17118620872497559,-2.5473334789276123,-1.2767459154129028,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.2791261672973633,0.5,0.0,0.0,-3.2934348583221436,-0.0008867046562954783,-0.002853115787729621,0.0,-1.3960635662078857,0.0,6.327769037917097e-12,-5.00000006675716e-11,4.114684581756592,-7.286959648132324,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.024921998381614685,0.19610802829265594,-0.12924590706825256,0.09910358488559723,0.000310458242893219,-1.0260356664657593,-1.0,0.0,0.0,0.20420359075069427,0.03886587172746658,0.12011740356683731,-0.4419582784175873,0.20764029026031494,-0.030995776876807213,-0.01854390650987625,0.16959147155284882,0.027579104527831078,0.004393089096993208,0.07325327396392822,-0.13797056674957275,-0.034394145011901855,0.02756396494805813,-0.3338356912136078,0.08210977166891098,-2.1742947101593018,-1.6362544298171997,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
