step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0005623478209599853,0.5,0.0,0.0,-3.1991679668426514,-6.577635940629989e-05,-0.35720810294151306,0.0,-0.4941368103027344,0.0,3.471157389300927e-11,-5.00000006675716e-11,0.04460568726062775,-4.857949733734131,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.03549410402774811,3.027204751968384,-0.059625595808029175,0.045155491679906845,0.04871586337685585,-0.9552105665206909,-1.0,0.0,0.0,0.009994067251682281,0.008314680308103561,0.04406542330980301,0.1669730395078659,-0.4492247700691223,0.5428829789161682,0.01777559146285057,0.0016290306812152267,0.08766322582960129,0.2694387435913086,-0.41122865676879883,-0.43864575028419495,-0.43534547090530396,-0.4619234502315521,-0.15021169185638428,-0.868518590927124,-5.890533447265625,-0.4955156445503235,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.15583421289920807,0.5,0.0,0.0,-1.758266568183899,-0.0067354971542954445,-0.0569903701543808,0.0,-0.10551988333463669,0.0,5.933611241237813e-11,-5.00000006675716e-11,0.09899754077196121,-4.458075523376465,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.06058989465236664,0.6905764937400818,0.06360669434070587,0.09721891582012177,-0.009235378354787827,-1.0437437295913696,-1.0,0.0,0.0,0.0045457035303115845,0.024441098794341087,0.07801742106676102,0.12154819816350937,-0.48016756772994995,0.4665839970111847,0.08734435588121414,0.023236049339175224,0.021427595987915993,0.04059081897139549,-0.18153166770935059,0.009400713257491589,-0.3379800021648407,0.4230562746524811,-0.014580637216567993,-0.38246917724609375,-3.697429895401001,0.3011614680290222,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005465521477162838,0.5,0.0,0.0,-1.672053337097168,-0.002154962858185172,-0.02295614406466484,0.0,-0.4784780442714691,0.0,3.655089772514053e-11,-5.00000006675716e-11,0.09752046316862106,-4.863932132720947,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.10389543324708939,2.242173910140991,0.0815519243478775,0.1564871221780777,0.04644523933529854,-1.0124406814575195,-1.0,0.0,0.0,0.013342659920454025,0.03349094092845917,0.11687599867582321,0.04278463125228882,-0.5018404722213745,0.3708782494068146,0.015253568068146706,0.08339305222034454,0.07929065078496933,0.24521766602993011,-0.3335428237915039,-0.269474059343338,-0.3610471487045288,-0.42990198731422424,-0.06210939586162567,-0.678776741027832,-5.104110240936279,-0.17508183419704437,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.467390239238739,0.5,0.0,0.0,-2.3857483863830566,-0.005758980289101601,-0.022546550258994102,0.0,-0.00889122486114502,0.0,3.591401828706431e-11,-5.00000006675716e-11,1.1950122117996216,-4.517517566680908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.17346912622451782,-0.27218616008758545,-0.049029573798179626,0.09182171523571014,0.01643763855099678,-0.9602197408676147,-1.0,0.0,0.0,0.04188209027051926,0.04296821355819702,0.12198799103498459,0.00034227780997753143,-0.4917204976081848,0.3066256642341614,0.11899753659963608,0.025557685643434525,-0.006372579839080572,-0.021738607436418533,-0.23364050686359406,0.30971840023994446,-0.342389315366745,0.4818887710571289,-0.18510189652442932,-0.22546599805355072,-3.8657824993133545,0.5324361324310303,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.021239332854747772,0.5,0.0,0.0,-1.89735746383667,-0.002992324996739626,-0.010682044550776482,0.0,-0.453106164932251,0.0,1.5416074666818602e-11,-5.00000006675716e-11,0.7871187329292297,-5.119585990905762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.011878937482833862,1.5608798265457153,0.15638814866542816,0.18844462931156158,0.0213664211332798,-0.9793128967285156,-1.0,0.0,0.0,0.050946854054927826,0.05190156400203705,0.15902279317378998,-0.06008990854024887,-0.4790680408477783,0.2132156938314438,0.033155523240566254,0.06463279575109482,0.05467463657259941,0.21527151763439178,-0.3250919282436371,-0.08813481032848358,-0.3514810800552368,-0.47504884004592896,-0.13027343153953552,-0.632649302482605,-4.39027214050293,-0.25769728422164917,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.771920919418335,0.5,0.0,0.0,-2.5759170055389404,-0.0015561990439891815,-0.020612306892871857,0.0,0.0,0.0,1.9054691852149475e-11,-5.00000006675716e-11,4.681759834289551,-4.938507556915283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.03813937306404114,-0.713095486164093,-0.19828557968139648,0.13705988228321075,0.03811955079436302,-0.9509502649307251,-1.0,0.0,0.0,0.07868264615535736,0.04595988243818283,0.13681915402412415,-0.08713126927614212,-0.44162341952323914,0.13819096982479095,0.1218123659491539,0.0649975910782814,-0.015529120340943336,-0.08196213096380234,-0.13275139033794403,0.3975312411785126,-0.3865656554698944,0.5379189848899841,-0.21769613027572632,-0.10272381454706192,-3.3747198581695557,0.6033605933189392,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.11135232448577881,0.5,0.0,0.0,-1.9218528270721436,-0.005417313892394304,-0.010621531866490841,0.0,-0.5789560079574585,0.0,-5.10468447026402e-12,-5.00000006675716e-11,4.64781379699707,-5.621647834777832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.11352069675922394,0.7154465317726135,-0.012407809495925903,0.1357576996088028,-0.04011356830596924,-1.0272444486618042,-1.0,0.0,0.0,0.09752970188856125,0.05009250342845917,0.15828852355480194,-0.1373835951089859,-0.38794073462486267,0.06281257420778275,0.05490557849407196,0.16869206726551056,0.060719337314367294,0.09280989319086075,-0.22432611882686615,-0.011872208677232265,-0.38769713044166565,-0.3790428340435028,-0.14851760864257812,-0.5025015473365784,-3.9469821453094482,-0.1516633778810501,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.8276928067207336,0.5,0.0,0.0,-1.7857551574707031,-0.0017778942128643394,-0.01434438768774271,0.0,-0.6237667798995972,0.0,3.144595911788728e-12,-5.00000006675716e-11,9.610315322875977,-5.620972633361816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.12338600307703018,-0.9259387850761414,0.005281537771224976,0.10868944227695465,0.04164739325642586,-1.0261019468307495,-1.0,0.0,0.0,0.12889300286769867,0.04187549650669098,0.14648902416229248,-0.15199199318885803,-0.33720800280570984,-0.002063862979412079,0.13641595840454102,0.12457367032766342,-0.027449121698737144,-0.13664789497852325,-0.08232180029153824,0.3959052562713623,-0.41328880190849304,0.4826045036315918,-0.26298508048057556,-0.08793271332979202,-2.98490834236145,0.41744357347488403,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.12350097298622131,0.5,0.0,0.0,-3.3323302268981934,-0.002083373721688986,-0.014098113402724266,0.0,-1.0668468475341797,0.0,-8.029773027051768e-12,-5.00000006675716e-11,5.505579948425293,-6.147940635681152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.00087738037109375,0.638852059841156,0.10948039591312408,0.13837827742099762,-0.008962836116552353,-1.0173863172531128,-1.0,0.0,0.0,0.1610279679298401,0.0368230864405632,0.1564597636461258,-0.2061893194913864,-0.29694411158561707,-0.026204241439700127,0.041646577417850494,0.13532809913158417,-0.01360807754099369,0.04247620329260826,-0.25842052698135376,0.10236144065856934,0.02326642908155918,-0.5132480263710022,-0.2977917492389679,-0.3372080326080322,-3.4513981342315674,-0.6450295448303223,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9632624387741089,0.5,0.0,0.0,-1.843569278717041,-0.0017751321429386735,-0.015438215807080269,0.0,-0.6981325149536133,0.0,-2.74454330789764e-12,-5.00000006675716e-11,14.11760139465332,-5.8116912841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.12773001194000244,-1.359851598739624,-0.17198170721530914,0.08873946964740753,0.03699294850230217,-0.9964154958724976,-1.0,0.0,0.0,0.2065316140651703,0.028803477063775063,0.12745220959186554,-0.23515242338180542,-0.24046063423156738,-0.025858350098133087,0.13067051768302917,0.149203360080719,-0.07848890870809555,-0.1808513104915619,-0.009716806001961231,0.43390750885009766,0.039796341210603714,0.4350042939186096,-0.22645607590675354,0.10290158540010452,-2.833299398422241,0.3362910747528076,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
