step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,8.503711796947755e-06,0.5,0.0,0.0,-4.816360950469971,-0.19424037635326385,-1.5955692529678345,0.0,-0.3750082850456238,0.0,1.9137892659504274e-11,-1.2299880558508391e-10,1.1326139429002069e-05,-0.07098233699798584,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-1.051243727484552e-12,1.2334470467570413e-12,3.6634053429684954e-11,3.633167725003439e-11,-4.666678155018644e-11,0.0,0.0,0.15967129170894623,1.653872013092041,-0.05263105034828186,0.0813954770565033,0.04677968844771385,-1.0124657154083252,-2.4599764347076416,0.0,0.0,-0.0025731436908245087,0.005645792931318283,0.034853070974349976,-0.08193305134773254,-0.028644464910030365,0.15162314474582672,0.00711437501013279,-0.018413065001368523,0.08139991015195847,0.18220403790473938,-0.3738762438297272,-0.16357438266277313,0.39403048157691956,0.04490027576684952,-0.7576450705528259,-0.026472371071577072,4.363047122955322,-11.829878807067871,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.015366966176771e-08,0.5,0.0,0.0,-5.7931294441223145,-4.1940762457670644e-05,-0.478534460067749,0.0,-0.3749993145465851,0.0,6.15028514228122e-11,-1.2299880558508391e-10,2.3148438721420916e-09,-0.09784135967493057,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,3.3234448179597642e-12,1.884162097176567e-12,3.584912922072192e-11,3.576026627594153e-11,-5.104147313139684e-11,0.0,-6.507149962094172e-13,0.1722392588853836,2.8745648860931396,0.17958278954029083,0.0927114337682724,0.04992960765957832,-0.9937366247177124,-2.4599764347076416,0.0,0.0,0.0118421521037817,0.026186248287558556,0.08334622532129288,-0.15812689065933228,-0.09371014684438705,0.06909880042076111,-0.008387457579374313,0.03715459629893303,0.0843697339296341,0.303570032119751,-0.44686704874038696,-0.3748478293418884,-0.43334904313087463,0.03083818033337593,-0.8217028379440308,-0.5937358736991882,-1.5325134992599487,-8.256376266479492,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.622439498305539e-07,0.5,0.0,0.0,-5.978687286376953,-0.15786440670490265,-0.09128338098526001,0.0,-0.7496640682220459,0.0,7.90746218504168e-11,-1.2299880558508391e-10,2.380737551543888e-10,-0.16472044587135315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,7.42084952515265e-12,2.729369247972402e-12,3.517600793978559e-11,3.487349298225695e-11,-5.51388726344193e-11,0.0,-1.495921984374926e-12,-0.10139194875955582,2.3649790287017822,-0.12989206612110138,0.12397782504558563,-0.01088143140077591,-1.0310192108154297,-2.4599764347076416,0.0,0.0,0.015104316174983978,0.03745529055595398,0.14672952890396118,-0.23991915583610535,-0.1843191385269165,-0.008520951494574547,0.006048703566193581,0.03335529565811157,0.07756104320287704,0.23304758965969086,-0.4225335121154785,-0.39569297432899475,-0.039247699081897736,0.03486911579966545,-1.2605804204940796,-0.701932430267334,-2.5766124725341797,-5.457469940185547,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.1129009180876892e-07,0.5,0.0,0.0,-5.545137405395508,-3.802633727900684e-05,-0.010594128631055355,0.0,-0.7499998211860657,0.0,7.564918830249567e-11,-1.2299880558508391e-10,3.457819863772471e-10,-0.26263853907585144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,8.684414298798515e-12,3.9896259039495785e-12,3.412466836882899e-11,3.369151832521844e-11,-5.640243480597995e-11,0.0,-2.7561785319318854e-12,-0.17311276495456696,2.6611390113830566,0.10900960862636566,0.1806880682706833,-0.025993172079324722,-1.016623854637146,-2.4599764347076416,0.0,0.0,0.04765849560499191,0.06110971421003342,0.19371384382247925,-0.31571298837661743,-0.2572340667247772,-0.002355453558266163,-0.0012460220605134964,0.09749781340360641,0.06620936840772629,0.30023184418678284,-0.3599124848842621,-0.4126022458076477,0.04511424899101257,0.020739812403917313,-1.1516801118850708,-0.7112069129943848,-3.4930896759033203,-5.913032531738281,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.2910517455111403e-07,0.5,0.0,0.0,-5.835795879364014,-3.792009374592453e-05,-0.00129217142239213,0.0,-0.7499998211860657,0.0,7.669876539440068e-11,-1.2299880558508391e-10,3.137841653177986e-10,-0.37762683629989624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,9.939268158509762e-12,5.258365791405151e-12,3.277784640931536e-11,3.221536926112378e-11,-5.7657285196244246e-11,0.0,-4.024918419387458e-12,-0.039464592933654785,2.545947313308716,-0.0477224737405777,0.21477331221103668,0.03815888240933418,-0.9601284265518188,-2.4599764347076416,0.0,0.0,0.0720362439751625,0.08053191006183624,0.24148453772068024,-0.396977037191391,-0.341694176197052,-7.705576717853546e-05,0.0017901239916682243,0.08612117916345596,0.04720274731516838,0.303684800863266,-0.38124483823776245,-0.37991735339164734,-0.01849452033638954,-0.013421651907265186,-1.2810922861099243,-0.8400818109512329,-3.21238374710083,-6.043665885925293,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.55018113900951e-07,0.5,0.0,0.0,-5.285924911499023,-3.7787296605529264e-05,-0.02585669606924057,0.0,-0.75,0.0,7.568022597492785e-11,-1.2299880558508391e-10,4.0873299189669865e-10,-0.5125674605369568,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.1192322242614683e-11,6.528751064077687e-12,3.1135032052542755e-11,3.044381760575199e-11,-5.891034882132828e-11,0.0,-5.295304559421732e-12,-0.07924951612949371,2.803011178970337,-0.13159871101379395,0.3321148455142975,0.03369557484984398,-0.9592999815940857,-2.4599764347076416,0.0,0.0,0.09434101730585098,0.0925765112042427,0.3002423644065857,-0.4775218963623047,-0.4143086373806,-0.003118259832262993,0.007415596395730972,0.18018880486488342,0.08340978622436523,0.2257968634366989,-0.3580566942691803,-0.43024563789367676,0.04911036044359207,-0.009514081291854382,-1.099053978919983,-0.8186869025230408,-1.789391040802002,-6.76972770690918,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.925733812413455e-07,0.5,0.0,0.0,-5.827814102172852,-3.7628466088790447e-05,-0.014042114838957787,0.0,-0.7499998211860657,0.0,7.443957256159095e-11,-1.2299880558508391e-10,5.616290765786403e-10,-0.6709257364273071,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.2443253892546746e-11,7.800726210815956e-12,2.9195153239403027e-11,2.8376018548770254e-11,-6.016127873653687e-11,0.0,-6.567277971436525e-12,-0.048212215304374695,2.6281166076660156,0.11874406039714813,0.3798317015171051,-0.04011041298508644,-0.9583101272583008,-2.4599764347076416,0.0,0.0,0.11756887286901474,0.09993109107017517,0.3580421507358551,-0.5562219619750977,-0.5002317428588867,-0.007920920848846436,0.006490282714366913,0.19952087104320526,0.11456689983606339,0.24841617047786713,-0.4236094653606415,-0.4421548843383789,0.039159514009952545,-0.009676984511315823,-1.3362656831741333,-0.9988574981689453,-1.5496165752410889,-5.648126602172852,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.471389564107085e-07,0.5,0.0,0.0,-5.182922840118408,-3.744147761608474e-05,-0.0044668312184512615,0.0,-0.75,0.0,7.297793619409632e-11,-1.2299880558508391e-10,8.127370443311577e-10,-0.8567617535591125,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.3691893105405306e-11,9.073918699753492e-12,2.6957006071803846e-11,2.6010809825449677e-11,-6.140991187786327e-11,0.0,-7.840471327735798e-12,-0.16345034539699554,2.467076539993286,-0.049493610858917236,0.3690994381904602,0.0017193146049976349,-0.929038405418396,-2.4599764347076416,0.0,0.0,0.15662871301174164,0.11103511601686478,0.4098512828350067,-0.6405307054519653,-0.5839375257492065,-0.005782250314950943,-0.0050020981580019,0.17828114330768585,0.06013207510113716,0.24474385380744934,-0.43335023522377014,-0.35982948541641235,0.015882259234786034,0.006106597371399403,-1.1833590269088745,-1.0081385374069214,-2.184570789337158,-5.7897233963012695,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.19303910095914e-07,0.5,0.0,0.0,-3.2849442958831787,-3.595704401959665e-05,-0.11458097398281097,0.0,-0.37499991059303284,0.0,7.009488128817409e-11,-1.2299880558508391e-10,1.911343527893905e-09,-1.0935642719268799,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.203359634160961e-11,1.0713193353273365e-11,2.373868462912654e-11,2.338532666124049e-11,-5.9751620318238e-11,0.0,-9.479745981255672e-12,-0.16964928805828094,2.4629123210906982,0.14454074203968048,0.4523446559906006,-0.010726463049650192,-0.8895968794822693,-2.4599764347076416,0.0,0.0,0.19865398108959198,0.13636641204357147,0.45519307255744934,-0.7078903913497925,-0.6530759930610657,0.08705466240644455,-0.00024092569947242737,0.2076231688261032,0.04750791937112808,0.22322432696819305,-0.3742991089820862,-0.3980323076248169,0.4233502447605133,-0.007686141412705183,-0.9553942084312439,-0.9074634909629822,0.8503693342208862,-7.267942428588867,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.316215613973327e-05,0.5,0.0,0.0,-3.2153117656707764,-0.002506221877411008,-0.07430867105722427,0.0,-0.3749908208847046,0.0,5.646168255157846e-11,-1.2299880558508391e-10,1.1874877969830777e-07,-1.3312451839447021,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.0040390394094878e-11,1.2186063789998425e-11,2.0108923207140528e-11,2.0314071605409545e-11,-5.775841610544674e-11,0.0,-1.0952616417980732e-11,0.10187949240207672,1.506862998008728,0.17851881682872772,0.5105000734329224,0.016187366098165512,-0.9232020378112793,-2.4599764347076416,0.0,0.0,0.23615199327468872,0.13652166724205017,0.4998131990432739,-0.7724743485450745,-0.7227200865745544,0.15559647977352142,0.002475379966199398,0.18127427995204926,0.0023088695015758276,0.1850101500749588,-0.24049420654773712,-0.2751091718673706,0.37494325637817383,-0.048496462404727936,-0.8720616102218628,-0.8300079107284546,2.289541244506836,-9.58023738861084,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
