step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.41395506262779236,0.5,0.0,0.0,-5.402879238128662,-0.01407227385789156,-0.11493139714002609,0.0,-0.40033039450645447,0.0,2.648803485577611e-12,-4.033536352143763e-11,5.863234996795654,-5.577820777893066,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,3.296515144191048e-11,1.1197541375032594e-12,5.621212523232444e-11,5.905716193854715e-11,-3.296515838080438e-11,0.0,-1.119757064849125e-12,-0.04023347795009613,0.3091992139816284,0.15520788729190826,-0.029753178358078003,0.04279323294758797,-1.0166270732879639,-0.8067072629928589,0.0,0.0,0.001390654593706131,-0.01119009405374527,0.007146604359149933,0.08492862433195114,0.21116885542869568,0.026091018691658974,0.6002305150032043,0.012856853194534779,-0.025693589821457863,0.054152488708496094,0.39693504571914673,-0.3913087248802185,-0.4314911961555481,-0.4262412190437317,0.6618087887763977,-0.15134888887405396,-1.3527569770812988,-3.0335278511047363,0.23344536125659943,0.972369909286499,-0.3296515643596649,-0.5621212720870972,-0.011197570711374283,-0.2256471812725067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.42494869232177734,0.5,0.0,0.0,-4.829078674316406,-0.10472580045461655,-0.2699377238750458,0.0,-0.6981325149536133,0.0,6.340809387966884e-12,-4.033536352143763e-11,5.166820526123047,-6.08695125579834,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,2.96410396227742e-11,9.456786916051119e-12,5.8086081083930097e-11,5.447114287404631e-11,-2.96410396227742e-11,0.0,-9.456789518136333e-12,0.03342926502227783,0.44484084844589233,-0.13321521878242493,-0.020442921668291092,-0.036219459027051926,-1.0461505651474,-0.8067072629928589,0.0,0.0,0.0012085353955626488,-0.007227746769785881,0.0006247647106647491,0.1645406037569046,0.13267165422439575,-0.03270808607339859,0.4914087653160095,0.06437285989522934,-0.0429745614528656,0.05453350767493248,0.39148011803627014,-0.3656594455242157,0.027037763968110085,-0.47996965050697327,0.39364105463027954,-0.8904410600662231,-3.3746562004089355,-7.754494667053223,0.3826834261417389,0.9238795638084412,-0.2964104413986206,-0.5808608531951904,-0.09456789493560791,-0.17978700995445251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.002755335532128811,0.5,0.0,0.0,-5.700057506561279,-0.019768759608268738,-0.06259646266698837,0.0,-0.6981301307678223,0.0,3.5973276441003676e-11,-4.033536352143763e-11,0.10880935937166214,-6.088809490203857,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,2.7376240163690113e-11,1.6228384955296882e-11,5.7673178732731145e-11,5.163999089452531e-11,-2.737624536786054e-11,0.0,-1.6228388424743834e-11,-0.17929141223430634,2.5506539344787598,0.05143572390079498,0.08678056299686432,-0.0017047300934791565,-0.9536816477775574,-0.8067072629928589,0.0,0.0,0.026722198352217674,0.017685985192656517,0.03193367272615433,0.14825192093849182,0.05000106990337372,-0.021517321467399597,0.3980182111263275,0.06756065040826797,0.10844220221042633,0.3151044249534607,-0.39913448691368103,-0.41694554686546326,-0.025023287162184715,-0.4920603930950165,-0.24376735091209412,-1.4492077827453613,-5.723134994506836,-7.5939178466796875,0.5224985480308533,0.8526401519775391,-0.27376246452331543,-0.57673180103302,-0.16228388249874115,-0.15147551894187927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.20329523086547852,0.5,0.0,0.0,-5.060593605041504,-0.005672285798937082,-0.03138455003499985,0.0,-0.6981318593025208,0.0,5.7742245013203686e-11,-4.033536352143763e-11,0.18783754110336304,-6.18267822265625,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,2.5360265970553186e-11,2.2405638108735637e-11,5.682505160864437e-11,4.948544699012736e-11,-2.5360269440000138e-11,0.0,-2.240564157818259e-11,0.027757063508033752,0.753924548625946,-0.12512481212615967,0.08271819353103638,-0.0023740269243717194,-1.0209704637527466,-0.8067072629928589,0.0,0.0,0.03189380466938019,0.014772219583392143,0.07749935239553452,0.1454588919878006,-0.03076772578060627,-0.030354071408510208,0.29741424322128296,0.05746760591864586,0.07158880680799484,0.0695519670844078,0.19265559315681458,-0.36420750617980957,-0.01512310840189457,-0.49676018953323364,0.34604817628860474,-1.4361321926116943,-5.152756214141846,-6.023863792419434,0.649448037147522,0.760405957698822,-0.2536027133464813,-0.5682505369186401,-0.2240564078092575,-0.1299300491809845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.18004317581653595,0.5,0.0,0.0,-4.800153732299805,-3.962537812185474e-05,-0.01268104650080204,0.0,-0.6981318593025208,0.0,2.37182374435152e-11,-4.033536352143763e-11,1.4821374416351318,-6.480598449707031,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,2.1734575944565293e-11,3.0098076808648955e-11,5.626698759697568e-11,4.74574303466202e-11,-2.1734582883459197e-11,0.0,-3.009808374754286e-11,0.0826096385717392,1.1151632070541382,0.18768282234668732,0.11174853146076202,-0.04451906308531761,-0.9876013398170471,-0.8067072629928589,0.0,0.0,0.047313302755355835,0.02624916099011898,0.08767431229352951,0.18592329323291779,-0.10735726356506348,-0.015853069722652435,0.19908727705478668,0.12446372956037521,0.058398641645908356,0.11396434158086777,0.16641071438789368,-0.35781872272491455,0.04661528393626213,-0.5067452192306519,0.25986307859420776,-1.4982786178588867,-6.227663993835449,-6.342278480529785,0.760405957698822,0.649448037147522,-0.21734583377838135,-0.5626698732376099,-0.3009808361530304,-0.10964992642402649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.3384110629558563,0.5,0.0,0.0,-4.805119514465332,-0.00010343921167077497,-0.016320407390594482,0.0,-0.746530294418335,0.0,1.976518428092877e-11,-4.033536352143763e-11,2.548213481903076,-6.937863826751709,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.7624618778300238e-11,3.7968354155148987e-11,5.572659347863329e-11,4.6027352068600536e-11,-1.7624623982470666e-11,0.0,-3.796835762459594e-11,0.033594220876693726,0.4304192066192627,0.047251030802726746,0.08610419929027557,-0.04374021291732788,-0.9464146494865417,-0.8067072629928589,0.0,0.0,0.08036340773105621,0.024600451812148094,0.10488798469305038,0.22463728487491608,-0.17840254306793213,-0.021901650354266167,0.1135544404387474,0.08522855490446091,0.04543594643473625,0.04385390505194664,0.30425867438316345,-0.3530837893486023,0.04331723973155022,-0.48501157760620117,0.37644994258880615,-1.4985954761505127,-5.702355861663818,-5.183615684509277,0.8526401519775391,0.522498607635498,-0.17624624073505402,-0.5572659373283386,-0.37968355417251587,-0.09534916281700134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.03328723832964897,0.5,0.0,0.0,-4.992771625518799,-0.004309812560677528,-0.011896844021975994,0.0,-1.248389482498169,0.0,2.7784115286255684e-11,-4.033536352143763e-11,0.5330463647842407,-7.381745338439941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.4923739327654673e-11,4.456936902874631e-11,5.4217182826610255e-11,4.544139717288509e-11,-1.4923746266548577e-11,0.0,-4.456936902874631e-11,0.03855335712432861,1.6778610944747925,-0.17816242575645447,0.10860387980937958,-0.0052739642560482025,-0.9507483243942261,-0.8067072629928589,0.0,0.0,0.10212278366088867,0.034385114908218384,0.14038114249706268,0.23328204452991486,-0.270408570766449,-0.028584759682416916,0.010381050407886505,0.1419871598482132,0.09454536437988281,0.225548654794693,-0.1384333223104477,-0.44407328963279724,0.010997503995895386,-0.4730868935585022,0.08224311470985413,-1.238751769065857,-6.351587295532227,-4.399966239929199,0.9238795638084412,0.3826834261417389,-0.14923745393753052,-0.542171835899353,-0.445693701505661,-0.08948960900306702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.09829871356487274,0.5,0.0,0.0,-4.807204246520996,-0.00017750558617990464,-0.03941700980067253,0.0,-1.3962517976760864,0.0,4.546430940055579e-11,-4.033536352143763e-11,0.2817115783691406,-7.450577735900879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.3044410170082177e-11,4.8258445850546394e-11,5.203008857090907e-11,4.3353112766375546e-11,-1.304441710897608e-11,0.0,-4.82584527894403e-11,0.04362931847572327,1.2030670642852783,-0.005092635750770569,0.19017595052719116,-0.020562656223773956,-1.0237374305725098,-0.8067072629928589,0.0,0.0,0.1436929702758789,0.04779455065727234,0.15674035251140594,0.2277248650789261,-0.3497137725353241,-0.021077055484056473,-0.026536177843809128,0.20923948287963867,0.010842472314834595,0.07473988831043243,0.04955749586224556,-0.36801883578300476,0.016540009528398514,0.028554631397128105,0.2612488567829132,-1.1856790781021118,-5.420165061950684,-2.656609058380127,0.972369909286499,0.2334454208612442,-0.13044416904449463,-0.5203008651733398,-0.48258450627326965,-0.06860673427581787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.11446960270404816,0.5,0.0,0.0,-4.800449848175049,-3.559425749699585e-05,-0.008876902982592583,0.0,-1.3962626457214355,0.0,3.480125562727032e-11,-4.033536352143763e-11,0.6156241297721863,-7.394036769866943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.089875412141339e-11,5.1321485255995114e-11,4.969850919689378e-11,4.028742964234944e-11,-1.0898761060307294e-11,0.0,-5.132149566433597e-11,0.0948040634393692,1.324292778968811,0.027124494314193726,0.22451649606227875,0.046679120510816574,-0.9484109282493591,-0.8067072629928589,0.0,0.0,0.17081624269485474,0.045808494091033936,0.1767749935388565,0.24649833142757416,-0.4323575794696808,-0.020826444029808044,-0.02103583514690399,0.2049083262681961,0.03401712328195572,0.1424330323934555,0.028391128405928612,-0.4470004141330719,-0.01920241117477417,0.028312504291534424,0.26118963956832886,-1.0195434093475342,-5.406652450561523,-1.7292975187301636,0.9969173073768616,0.07845908403396606,-0.10898760706186295,-0.4969850778579712,-0.5132149457931519,-0.03794988989830017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03901368007063866,0.5,0.0,0.0,-3.2335004806518555,-0.0005921493284404278,-0.014339353889226913,0.0,-1.3962721824645996,0.0,3.985272528650441e-11,-4.033536352143763e-11,0.25679612159729004,-7.2877655029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,9.337906316242428e-12,5.39420869083429e-11,4.6648313684061193e-11,3.703177695046911e-11,-9.337912387774594e-12,0.0,-5.3942093847236805e-11,-0.11846329271793365,1.738290786743164,-0.03394694626331329,0.2072231024503708,-0.0397181436419487,-0.9897467494010925,-0.8067072629928589,0.0,0.0,0.20983895659446716,0.05724897235631943,0.21256189048290253,0.2336665540933609,-0.5011700391769409,-0.029589733108878136,-0.03489561006426811,0.17869842052459717,0.06029609590768814,0.16673143208026886,-0.0771174505352974,-0.4073357582092285,-0.037570659071207047,0.023410016670823097,0.13166722655296326,-0.7096641063690186,-5.236222267150879,-0.5925970673561096,0.9969173073768616,-0.07845905423164368,-0.09337913244962692,-0.46648311614990234,-0.5394209623336792,-0.005393356084823608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
