step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0023540565744042397,0.5,0.0,0.0,-3.4447073936462402,-8.549589256290346e-05,-0.1357623189687729,0.0,-0.4974639415740967,0.0,2.920006250684004e-11,-5.00000006675716e-11,0.12272141128778458,-4.113231182098389,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.126628115773201,2.466439723968506,0.12417973577976227,0.02405719831585884,0.005460485816001892,-1.0038460493087769,-1.0,0.0,0.0,0.008881205692887306,0.013330038636922836,0.03901705890893936,-0.36049148440361023,-0.19217140972614288,0.5793849229812622,0.016557449474930763,0.06231491640210152,0.07637102901935577,0.2522612512111664,-0.2610453963279724,-0.3648017346858978,-0.3870628774166107,-0.4978795647621155,-0.4872194230556488,-0.5234720706939697,-3.5496397018432617,-0.6818243861198425,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.37928515672683716,0.5,0.0,0.0,-1.693165898323059,-0.0034984510857611895,-0.017209846526384354,0.0,-0.6835812330245972,0.0,4.3492393714261723e-11,-5.00000006675716e-11,0.622725784778595,-4.4370574951171875,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0009017586708068848,0.21014128625392914,0.19040580093860626,0.041511420160532,-0.0154653899371624,-0.965673565864563,-1.0,0.0,0.0,0.016952915117144585,0.02564745955169201,0.05182626098394394,-0.36894118785858154,-0.21171432733535767,0.5047553181648254,-0.02587190829217434,0.07600817829370499,0.007829236797988415,-0.015022284351289272,0.05195120722055435,-0.0006060033920221031,-0.4236234724521637,-0.13334429264068604,-0.4010063111782074,-0.1209491565823555,-2.4627845287323,-0.07332342863082886,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.21096216142177582,0.5,0.0,0.0,-1.8187274932861328,-3.832583752227947e-05,-0.005298275034874678,0.0,-0.6981343030929565,0.0,4.4870118905138145e-12,-5.00000006675716e-11,3.9054009914398193,-4.621341228485107,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0031799525022506714,0.5963483452796936,0.15863968431949615,0.05883064493536949,0.03457247093319893,-0.9796629548072815,-1.0,0.0,0.0,0.011737380176782608,0.009613532572984695,0.06400226056575775,-0.37224555015563965,-0.21156086027622223,0.4400615990161896,-0.031813133507966995,0.05009535700082779,-0.005971712060272694,0.010798734612762928,-0.008075952529907227,-0.08815395832061768,-0.38054925203323364,-0.0033244402147829533,-0.40815335512161255,-0.2353665828704834,-3.1745803356170654,-0.17348259687423706,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.5481567978858948,0.5,0.0,0.0,-1.6100350618362427,-0.0002690568217076361,-0.0020609695930033922,0.0,-0.593910813331604,0.0,2.930176067061918e-12,-5.00000006675716e-11,7.018825531005859,-4.727917194366455,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.006660863757133484,-0.5029187202453613,-0.17003996670246124,0.0947268158197403,0.016359087079763412,-1.0027703046798706,-1.0,0.0,0.0,0.03233238309621811,0.009623991325497627,0.05615340173244476,-0.37930068373680115,-0.206621453166008,0.3572063148021698,0.0030113644897937775,0.09289886802434921,-0.011771726422011852,0.0030365108978003263,0.02182278037071228,0.15450456738471985,-0.37344032526016235,0.11995089054107666,-0.37973007559776306,-0.126347154378891,-2.7930655479431152,0.04526452720165253,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.3831823468208313,0.5,0.0,0.0,-1.6007615327835083,-0.00021097864373587072,-0.00014939019456505775,0.0,-0.6733584403991699,0.0,-7.150790376497795e-12,-5.00000006675716e-11,8.514514923095703,-5.0943498611450195,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.12379179894924164,0.0709223598241806,-0.14344021677970886,0.10830734670162201,0.02820175513625145,-1.029045581817627,-1.0,0.0,0.0,0.06291326135396957,0.017764559015631676,0.06398627907037735,-0.3777729570865631,-0.17801105976104736,0.2672306299209595,-0.02319343388080597,0.06250528246164322,-0.044114697724580765,0.028739405795931816,-0.0647805854678154,0.053213443607091904,-0.41634318232536316,-0.06614517420530319,-0.40338724851608276,-0.14687499403953552,-2.740506410598755,-0.06054428219795227,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9712831377983093,0.5,0.0,0.0,-1.902093529701233,-0.0002620648592710495,-0.003475048579275608,0.0,-0.1877593994140625,0.0,-1.720376792413436e-11,-5.00000006675716e-11,20.483306884765625,-4.940511226654053,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.12697339057922363,-1.4380840063095093,-0.0032660067081451416,-0.0029170215129852295,-0.0024482421576976776,-0.9767674207687378,-1.0,0.0,0.0,0.06908804178237915,0.0019579902291297913,0.052684374153614044,-0.35453301668167114,-0.12836824357509613,0.18631836771965027,0.07765316218137741,0.14817483723163605,-0.05817272886633873,-0.08828353881835938,0.09302425384521484,0.31768420338630676,-0.35415226221084595,0.49937915802001953,-0.3352145254611969,0.045985810458660126,-2.573284149169922,0.4664270281791687,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00922410935163498,0.5,0.0,0.0,-2.983959674835205,-0.002666155807673931,-0.013098066672682762,0.0,-0.6739055514335632,0.0,-1.5850698574862432e-12,-5.00000006675716e-11,1.617601752281189,-5.745694637298584,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.09040971100330353,2.0317647457122803,0.13579155504703522,0.11076433956623077,-0.0047916024923324585,-1.0019185543060303,-1.0,0.0,0.0,0.09656120091676712,0.01910477690398693,0.0717412680387497,-0.41126883029937744,-0.14195923507213593,0.12105654925107956,-0.010672586038708687,0.1410451978445053,0.03982197120785713,0.17549963295459747,-0.3387833535671234,-0.2122374027967453,-0.40143129229545593,-0.4642697870731354,-0.5114569664001465,-0.3336632251739502,-2.597407102584839,-0.5984814167022705,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.7266660332679749,0.5,0.0,0.0,-2.4119279384613037,-0.0004382715269457549,-0.018019089475274086,0.0,-0.6001639366149902,0.0,3.639939044619567e-12,-5.00000006675716e-11,19.44320297241211,-5.750456809997559,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06918463110923767,-2.575636148452759,-0.03703932464122772,0.049699123948812485,-0.045234426856040955,-1.0365211963653564,-1.0,0.0,0.0,0.13223770260810852,0.012563072144985199,0.027520010247826576,-0.35215187072753906,-0.1025039404630661,0.0269655492156744,0.06791022419929504,0.13810984790325165,-0.05379234626889229,-0.29018712043762207,0.3939492404460907,0.4143507182598114,-0.37886476516723633,0.537444531917572,-0.10202690958976746,0.1262085884809494,-2.35636830329895,0.5697197318077087,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00814984180033207,0.5,0.0,0.0,-2.7843189239501953,-0.034217748790979385,-0.01635974459350109,0.0,-1.3640891313552856,0.0,-2.3089363754280612e-11,-5.00000006675716e-11,4.689435005187988,-6.554398536682129,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0890081375837326,1.825458288192749,0.19481144845485687,0.061867546290159225,-0.020033275708556175,-1.0424654483795166,-1.0,0.0,0.0,0.17900779843330383,0.01231704093515873,0.04774021357297897,-0.3683762848377228,-0.11064078658819199,-0.029843859374523163,-0.011203838512301445,0.21820779144763947,0.06070606783032417,0.17309151589870453,-0.17999772727489471,-0.34060245752334595,-0.02107987180352211,-0.4556789994239807,-0.4236404597759247,-0.3909265995025635,-2.4037718772888184,-0.5540522336959839,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9464550614356995,0.5,0.0,0.0,-2.630624532699585,-0.0007419141475111246,-0.01731950417160988,0.0,-0.8878850340843201,0.0,1.1101701155591392e-11,-5.00000006675716e-11,12.85409927368164,-6.09768009185791,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.16529692709445953,-2.001072406768799,0.12997664511203766,0.07512420415878296,-0.0026931054890155792,-1.0057886838912964,-1.0,0.0,0.0,0.1988590955734253,0.0046941982582211494,0.024410976096987724,-0.31024035811424255,-0.11520615220069885,-0.030897898599505424,0.07520144432783127,0.2103990614414215,-0.03191886097192764,-0.20150648057460785,0.35706645250320435,0.20115749537944794,0.01630347967147827,0.5216605067253113,-0.10901184380054474,0.02928369678556919,-2.7043297290802,0.6147280931472778,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
