step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0006976562435738742,0.5,0.0,0.0,-3.390420913696289,-0.0016788279172033072,-0.1797982156276703,0.0,-0.39324164390563965,0.0,3.391766034699373e-11,-5.00000006675716e-11,0.05187880992889404,-5.798438549041748,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.060711801052093506,2.6675848960876465,0.003475189208984375,0.07028542459011078,0.02573269233107567,-1.0457719564437866,-1.0,0.0,0.0,-0.0060697500593960285,0.020341819152235985,0.06278855353593826,0.062722347676754,-0.0015223463997244835,0.2659909427165985,0.03408002108335495,0.01731589436531067,0.10190742462873459,0.28006312251091003,-0.44751474261283875,-0.3776683807373047,-0.40745964646339417,-0.4082961976528168,-0.2525680363178253,-0.718605637550354,-4.168882369995117,-0.14162279665470123,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01558791846036911,0.5,0.0,0.0,-2.208524465560913,-0.002267701318487525,-0.04637715220451355,0.0,0.0,0.0,7.167481885783644e-11,-5.00000006675716e-11,0.007589488290250301,-5.3615641593933105,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08365534245967865,1.8145091533660889,0.015466839075088501,0.07296131551265717,-0.008481968194246292,-0.9789027571678162,-1.0,0.0,0.0,0.001687188632786274,0.0348886102437973,0.09392798691987991,0.01660722680389881,-0.07880032807588577,0.18152159452438354,0.1321377456188202,0.05896959453821182,0.07789070904254913,0.18596087396144867,-0.21881364285945892,-0.3381795585155487,-0.415773868560791,0.48436784744262695,-0.07994961738586426,-0.20329532027244568,-2.2214677333831787,0.5999631881713867,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.22407947480678558,0.5,0.0,0.0,-1.8347991704940796,-0.0013737783301621675,-0.0009613112779334188,0.0,-0.05040168762207031,0.0,3.565770595459483e-11,-5.00000006675716e-11,0.7035549283027649,-5.21196174621582,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.027399852871894836,0.539868175983429,-0.15724050998687744,0.13101278245449066,0.04808609560132027,-0.9897609949111938,-1.0,0.0,0.0,0.01563449390232563,0.03099135495722294,0.11912073940038681,0.0010728240013122559,-0.11088629812002182,0.10916280746459961,0.23096537590026855,0.024100184440612793,-0.034954335540533066,0.05249383673071861,0.016647184267640114,-0.09963596612215042,-0.3644162714481354,0.4917190968990326,0.035393379628658295,-0.18745651841163635,-2.508822202682495,0.6018772125244141,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.09663742035627365,0.5,0.0,0.0,-1.8152438402175903,-0.000762050854973495,-0.00043048980296589434,0.0,-0.4380500316619873,0.0,1.726343547281406e-11,-5.00000006675716e-11,1.3643020391464233,-5.187493324279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.19723404943943024,0.716256320476532,-0.024931520223617554,0.09400948882102966,-0.017893481999635696,-1.018348217010498,-1.0,0.0,0.0,0.03209929168224335,0.029446041211485863,0.1348007321357727,-0.019756922498345375,-0.1477850079536438,0.030214672908186913,0.3250565230846405,0.12776653468608856,-0.02109774388372898,0.07649916410446167,-0.12491121143102646,-0.07656498998403549,-0.41655322909355164,0.5472452044487,-0.14919643104076385,-0.14990542829036713,-2.461550712585449,0.6748902797698975,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.004130826331675053,0.5,0.0,0.0,-1.7691848278045654,-0.0002109148626914248,-0.009167575277388096,0.0,-0.6981325149536133,0.0,4.271809295186557e-11,-5.00000006675716e-11,0.05198199674487114,-5.591217994689941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.028215035796165466,2.0837669372558594,-0.12509554624557495,0.21197165548801422,-0.026957985013723373,-0.9760861992835999,-1.0,0.0,0.0,0.05569775402545929,0.04313839226961136,0.17438529431819916,-0.1003691628575325,-0.18780076503753662,-0.019554344937205315,0.23216430842876434,0.1483643501996994,0.06207982450723648,0.2668457627296448,-0.41029101610183716,-0.2454657405614853,-0.00977625884115696,-0.4602222442626953,-0.3183475136756897,-0.33124515414237976,-2.957294225692749,-0.10581432282924652,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8582027554512024,0.5,0.0,0.0,-2.0575661659240723,-0.007946563884615898,-0.00835656002163887,0.0,-0.6981325149536133,0.0,2.8108491229028587e-11,-5.00000006675716e-11,3.5103836059570312,-5.293788909912109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.03308121860027313,-1.2624313831329346,-0.020306676626205444,0.18586941063404083,-0.0016401931643486023,-0.9452621936798096,-1.0,0.0,0.0,0.08141613751649857,0.05420374125242233,0.17176733911037445,-0.12646251916885376,-0.15077000856399536,-0.0332370400428772,0.3149354159832001,0.1453959196805954,-0.029099557548761368,-0.07506906241178513,-0.14985933899879456,0.3677906095981598,-0.01921330764889717,0.46854326128959656,-0.2808392643928528,0.16613712906837463,-2.594839334487915,0.569083034992218,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.013647296465933323,0.5,0.0,0.0,-4.178633689880371,-0.005934468004852533,-0.08977825939655304,0.0,-0.6981325149536133,0.0,3.1762697940557194e-12,-5.00000006675716e-11,1.4045534133911133,-5.5115180015563965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.029912367463111877,2.0499773025512695,-0.17592303454875946,0.21758754551410675,0.04815693572163582,-1.0302762985229492,-1.0,0.0,0.0,0.09446603804826736,0.050979770720005035,0.18134982883930206,-0.20268481969833374,-0.15620747208595276,-0.03102070651948452,0.23528893291950226,0.11126179993152618,0.07850687950849533,0.17209866642951965,-0.44460317492485046,-0.1765259951353073,-0.046104174107313156,-0.4210189878940582,-0.6612058877944946,-0.33363276720046997,-3.8885669708251953,-2.059537649154663,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.6698112487792969,0.5,0.0,0.0,-3.8956143856048584,-0.0005948763573542237,-0.05805709585547447,0.0,-0.6981318593025208,0.0,2.482856281682544e-11,-5.00000006675716e-11,3.0597410202026367,-5.9588093757629395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.08513697981834412,-0.5159152150154114,-0.008033648133277893,0.22253377735614777,0.020346108824014664,-0.9726397395133972,-1.0,0.0,0.0,0.13590730726718903,0.05370098352432251,0.19617289304733276,-0.2443205863237381,-0.08084547519683838,-0.019116006791591644,0.12397345155477524,0.11636378616094589,0.02414526976644993,-0.020220845937728882,-0.24068008363246918,0.4352237284183502,0.0346401147544384,-0.46728619933128357,-0.38998350501060486,0.3466552495956421,-1.9545798301696777,-0.8229899406433105,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.38595259189605713,0.5,0.0,0.0,-3.467893123626709,-4.912095027975738e-05,-0.021068420261144638,0.0,-1.120145320892334,0.0,-1.149381805010119e-11,-5.00000006675716e-11,9.996332168579102,-6.52156400680542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.05389004945755005,0.24081306159496307,0.1302429884672165,0.13774394989013672,-0.027006935328245163,-1.0122568607330322,-1.0,0.0,0.0,0.1764400452375412,0.0467558354139328,0.17882393300533295,-0.33100593090057373,-0.020351944491267204,-0.03252965211868286,0.021379871293902397,0.2215595245361328,0.0412326417863369,0.002570384880527854,-0.3652666509151459,0.4454066753387451,0.02286178432404995,-0.45230230689048767,-0.5531724691390991,0.32255819439888,-3.367187023162842,-1.113113522529602,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9626514911651611,0.5,0.0,0.0,-3.349104881286621,-0.003653409657999873,-0.009458874352276325,0.0,-1.3960193395614624,0.0,-1.6826238319334053e-11,-5.00000006675716e-11,20.065536499023438,-6.983547687530518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.11982403695583344,-1.123185396194458,-0.07856082916259766,0.12537245452404022,0.041362810879945755,-0.9625277519226074,-1.0,0.0,0.0,0.20715069770812988,0.05315747112035751,0.1714259833097458,-0.36350998282432556,0.06535790115594864,-0.033915482461452484,-0.019675668329000473,0.1817738115787506,-0.026241226121783257,-0.12969684600830078,0.032585322856903076,0.4188300669193268,0.03466074541211128,-0.03143612667918205,-0.2670533061027527,0.27167046070098877,-2.4499435424804688,-1.2548812627792358,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
