step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right,act_q1_left,act_q2_left,act_q1_right,act_q2_right,foot_l_x,foot_l_y,foot_l_z,foot_r_x,foot_r_y,foot_r_z,com_x,com_y,com_z
0,0.0,0,0.006867002695798874,1.3927377029432364e-09,-2.7729231567480325e-17,2.5653480550101993e-18,-1.1102021134992712e-18,4.0690831543891634e-19,3.526132140067013e-19,-0.24227458238601685,0.23332302272319794,0.5030950307846069,-11.15470027923584,-3.7737855507202767e-08,-0.09685084968805313,0.3587932288646698,-2.981977331728558e-08,0.10071631520986557,0.3587932288646698,-7.233959209429486e-09,5.05611404187088e-24,1.4080631732940674
1,0.005,0,0.03752325847744942,7.610316821171637e-09,-6.561348820003325e-17,2.729342815303431e-18,-2.5935609109576986e-18,1.6691757713829387e-19,3.5561732719634075e-19,-0.24227458238601685,0.23332302272319794,0.5030950307846069,-11.15470027923584,-3.7737855507202767e-08,-0.09685084968805313,0.3281368911266327,-2.981977331728558e-08,0.10071631520986557,0.3281368911266327,-7.233957433072646e-09,5.05611404187088e-24,1.3774068355560303
2,0.01,0,0.09270455688238144,1.8801960877112833e-08,4.5133700608192165e-17,-7.231686889429561e-18,-9.630333649182255e-18,-8.206267054634052e-19,1.551123010051814e-19,-0.24227458238601685,0.23332302272319794,0.5030950307846069,-11.15470027923584,-3.7737855507202767e-08,-0.09685084968805313,0.27295568585395813,-2.981977331728558e-08,0.10071631520986557,0.27295568585395813,-7.233959209429486e-09,5.05611404187088e-24,1.322225570678711
3,0.015,0,0.1724107414484024,3.4967634121585434e-08,5.265057803157021e-16,-1.3410982491190569e-17,-1.2658114957688693e-17,-1.377861422904333e-18,1.6840555873800312e-19,-0.24227458238601685,0.23332302272319794,0.5030950307846069,-11.15470027923584,-3.773786971805748e-08,-0.09685084968805313,0.19324949383735657,-2.9819787528140296e-08,0.10071631520986557,0.19324949383735657,-7.2339716439273616e-09,5.05611404187088e-24,1.2425193786621094
4,0.02,0,0.2766420543193817,5.610741737882563e-08,1.3913870352576306e-15,-1.590524719385133e-17,-1.3301096509896575e-17,-1.6142028471375247e-18,2.3973149472676953e-19,-0.009743495844304562,0.059026747941970825,-0.4616934359073639,-15.814037322998047,-3.7737855507202767e-08,-0.09685084968805313,0.08901813626289368,-2.981977331728558e-08,0.10071631520986557,0.08901813626289368,-7.233957433072646e-09,5.05611404187088e-24,1.1382880210876465
5,0.025,0,0.31877532601356506,0.012965184636414051,0.027655411511659622,-0.10566211491823196,-0.09836604446172714,0.17580170929431915,0.1891365349292755,-0.009743495844304562,0.059026747941970825,-0.4616934359073639,-15.814037322998047,-0.01098129153251648,-0.09685082733631134,0.050356969237327576,-0.02271745353937149,0.10071633756160736,0.05108962953090668,0.005082503892481327,1.1785160625166213e-09,1.0962637662887573
6,0.030000000000000002,0,0.3231141269207001,0.015721796080470085,0.01982431672513485,-0.13851745426654816,-0.14009661972522736,0.2658367455005646,0.2602491080760956,-0.009743495844304562,0.059026747941970825,-0.4616934359073639,-15.814037322998047,-0.008820595219731331,-0.09685082733631134,0.05012907087802887,-0.005147496238350868,0.10071633011102676,0.04976649582386017,0.010070804506540298,8.448597932364521e-10,1.091871976852417
7,0.035,0,0.3251061737537384,0.020139070227742195,0.02095736935734749,-0.15175092220306396,-0.15447898209095,0.29668495059013367,0.2866557836532593,-0.009743495844304562,0.059026747941970825,-0.4616934359073639,-15.814037322998047,-0.00801645964384079,-0.09685081243515015,0.050011277198791504,-0.0015258509665727615,0.10071634501218796,0.04928968846797943,0.014165201224386692,8.931325679029101e-10,1.0898864269256592
8,0.04,0,0.32586953043937683,0.025892306119203568,0.025704756379127502,-0.15757715702056885,-0.1589575707912445,0.3059655725955963,0.29654964804649353,-0.25910404324531555,0.00419115275144577,7.839112281799316,-17.69325828552246,-0.007661357522010803,-0.09685079753398895,0.04995507001876831,-0.002549385651946068,0.10071635246276855,0.04925313591957092,0.018565427511930466,1.0954188667255949e-09,1.0891549587249756
9,0.045,0,0.32627740502357483,0.032720521092414856,0.031237460672855377,-0.1599586009979248,-0.16041511297225952,0.30883002281188965,0.30023327469825745,-0.25910404324531555,0.00419115275144577,7.839112281799316,-17.69325828552246,-0.007401954382658005,-0.09685081243515015,0.04991257190704346,-0.0034023113548755646,0.10071634501218796,0.049259454011917114,0.02381712570786476,1.3311213242772624e-09,1.0887916088104248
