step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right,act_q1_left,act_q2_left,act_q1_right,act_q2_right,cur_foot_l_x,cur_foot_l_y,cur_foot_l_z,cur_foot_r_x,cur_foot_r_y,cur_foot_r_z,tgt_foot_l_x,tgt_foot_l_y,tgt_foot_l_z,tgt_foot_r_x,tgt_foot_r_y,tgt_foot_r_z,com_x,com_y,com_z
0,0.0,0,0.006867002695798874,1.3927377029432364e-09,-2.7729231567480325e-17,2.5653480550101993e-18,-1.1102021134992712e-18,4.0690831543891634e-19,3.526132140067013e-19,0.0,0.0,0.0,0.0,-3.7737855507202767e-08,-0.09685084968805313,0.3587932288646698,-2.981977331728558e-08,0.10071631520986557,0.3587932288646698,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-7.233959209429486e-09,5.05611404187088e-24,1.4080631732940674
1,0.005,0,0.03752325847744942,7.610316821171637e-09,-6.561348820003325e-17,2.729342815303431e-18,-2.5935609109576986e-18,1.6691757713829387e-19,3.5561732719634075e-19,0.0,0.0,0.0,0.0,-3.7737855507202767e-08,-0.09685084968805313,0.3281368911266327,-2.981977331728558e-08,0.10071631520986557,0.3281368911266327,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-7.233957433072646e-09,5.05611404187088e-24,1.3774068355560303
2,0.01,0,0.09270455688238144,1.8801960877112833e-08,4.5133700608192165e-17,-7.231686889429561e-18,-9.630333649182255e-18,-8.206267054634052e-19,1.551123010051814e-19,0.0,0.0,0.0,0.0,-3.7737855507202767e-08,-0.09685084968805313,0.27295568585395813,-2.981977331728558e-08,0.10071631520986557,0.27295568585395813,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-7.233959209429486e-09,5.05611404187088e-24,1.322225570678711
3,0.015,0,0.1724107414484024,3.4967634121585434e-08,5.265057803157021e-16,-1.3410982491190569e-17,-1.2658114957688693e-17,-1.377861422904333e-18,1.6840555873800312e-19,0.0,0.0,0.0,0.0,-3.773786971805748e-08,-0.09685084968805313,0.19324949383735657,-2.9819787528140296e-08,0.10071631520986557,0.19324949383735657,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-7.2339716439273616e-09,5.05611404187088e-24,1.2425193786621094
4,0.02,0,0.2766420543193817,5.610741737882563e-08,1.3913870352576306e-15,-1.590524719385133e-17,-1.3301096509896575e-17,-1.6142028471375247e-18,2.3973149472676953e-19,0.0,0.0,0.0,0.0,-3.7737855507202767e-08,-0.09685084968805313,0.08901813626289368,-2.981977331728558e-08,0.10071631520986557,0.08901813626289368,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-7.233957433072646e-09,5.05611404187088e-24,1.1382880210876465
5,0.025,0,0.32113489508628845,-0.01999839022755623,-0.0821102038025856,0.19953997433185577,0.1975315660238266,-0.1976555436849594,-0.24831163883209229,0.0,0.0,0.0,0.0,0.00769097451120615,-0.09685084968805313,0.050384968519210815,0.030913803726434708,0.10071627050638199,0.05268765985965729,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,0.003382289782166481,-3.4956195715807326e-09,1.0947556495666504
6,0.030000000000000002,0,0.3369886577129364,0.009382003918290138,-0.07757262140512466,0.37213242053985596,0.3755684494972229,-0.4046443998813629,-0.4967661201953888,0.0,0.0,0.0,0.0,-0.022838274016976357,-0.09685084223747253,0.050269484519958496,0.013323046267032623,0.1007162556052208,0.05651432275772095,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,0.031473319977521896,-3.3028482171459927e-09,1.0787986516952515
7,0.035,0,0.3575046956539154,0.019999999552965164,-0.05272930487990379,0.4534158706665039,0.4479914605617523,-0.6023519039154053,-0.7360937595367432,0.0,0.0,0.0,0.0,-0.026428725570440292,-0.09685085713863373,0.04971475899219513,0.032947883009910583,0.10071626305580139,0.06480805575847626,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,0.035028502345085144,-2.246290708995957e-09,1.0578218698501587
8,0.04,0,0.38417091965675354,0.01993393711745739,-0.0021043589804321527,0.4792323708534241,0.4749530255794525,-0.7965377569198608,-0.8514810800552368,0.0,0.0,0.0,0.0,-0.031237732619047165,-0.09685088694095612,0.04852820932865143,-0.0058732181787490845,0.10071627050638199,0.05640086531639099,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,0.020533761009573936,-8.969151810145348e-11,1.0307600498199463
9,0.045,0,0.4025096893310547,0.011798062361776829,0.01501581072807312,0.4997749924659729,0.5042002201080322,-0.9021661281585693,-0.8921591639518738,0.0,0.0,0.0,0.0,-0.034103766083717346,-0.09685087949037552,0.047593891620635986,-0.041403599083423615,0.10071629285812378,0.04619060456752777,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,0.007517629768699408,6.399473173601677e-10,1.012452483177185
10,0.049999999999999996,0,0.40799716114997864,-4.7944886318873614e-05,0.009690375998616219,0.5098509192466736,0.513048529624939,-0.9318656921386719,-0.9077091813087463,0.0,0.0,0.0,0.0,-0.03512978553771973,-0.09685089439153671,0.04718548059463501,-0.047047123312950134,0.10071628540754318,0.04328778386116028,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.002810476114973426,4.1300815545319836e-10,1.0069465637207031
11,0.05499999999999999,0,0.40896451473236084,-0.013190927915275097,-0.0016340709989890456,0.5146864056587219,0.5153616070747375,-0.9373893141746521,-0.9137319326400757,0.0,0.0,0.0,0.0,-0.03561960905790329,-0.09685087949037552,0.046982333064079285,-0.04540165513753891,0.10071627050638199,0.04294480383396149,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.012725204229354858,-6.964312460056021e-11,1.005966067314148
12,0.05999999999999999,0,0.4094140827655792,-0.01999855786561966,-0.006756796967238188,0.5156934857368469,0.5161436200141907,-0.939755916595459,-0.9159256815910339,0.0,0.0,0.0,0.0,-0.035882726311683655,-0.09685087949037552,0.04687619209289551,-0.04553763568401337,0.10071628540754318,0.042740076780319214,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.018072547391057014,-2.8796864892655094e-10,1.005522608757019
13,0.06499999999999999,0,0.4093378782272339,-0.014817306771874428,0.012459811754524708,0.49054569005966187,0.4897392690181732,-0.9392241835594177,-0.917314887046814,0.0,0.0,0.0,0.0,-0.03610162436962128,-0.0968509092926979,0.04678216576576233,-0.044041357934474945,0.1007162407040596,0.04289422929286957,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.018369175493717194,5.310208384123882e-10,1.0056142807006836
14,0.06999999999999999,0,0.40955859422683716,-0.014090515673160553,0.019244443625211716,0.48079046607017517,0.4801334738731384,-0.9400122165679932,-0.9177740812301636,0.0,0.0,0.0,0.0,-0.03625078499317169,-0.09685088694095612,0.04671734571456909,-0.044416166841983795,0.1007162556052208,0.04274527728557587,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.019576292484998703,8.201562207155177e-10,1.0054242610931396
15,0.075,0,0.4095819890499115,-0.015912620350718498,0.019953012466430664,0.47730839252471924,0.4765443801879883,-0.9400085210800171,-0.9179611802101135,0.0,0.0,0.0,0.0,-0.036365002393722534,-0.09685087203979492,0.04666830599308014,-0.0443648099899292,0.1007162481546402,0.04270473122596741,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.021600347012281418,8.503495130263161e-10,1.0054047107696533
16,0.08,0,0.4095567464828491,-0.0194114800542593,0.017926204949617386,0.4760730564594269,0.4752010703086853,-0.9398436546325684,-0.9180375337600708,0.0,0.0,0.0,0.0,-0.036487795412540436,-0.09685087203979492,0.046613484621047974,-0.04430016130208969,0.10071627050638199,0.04266636073589325,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.024521533399820328,7.639821553162562e-10,1.0054190158843994
17,0.085,0,0.4096551835536957,-0.01999904215335846,0.01944364793598652,0.47303155064582825,0.4724563956260681,-0.9401906132698059,-0.9178704023361206,0.0,0.0,0.0,0.0,-0.03656529635190964,-0.09685088694095612,0.0465821772813797,-0.04479319602251053,0.10071627050638199,0.04253348708152771,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.025541499257087708,8.28630164484423e-10,1.00532865524292
18,0.09000000000000001,0,0.40963613986968994,-0.019998665899038315,0.019987745210528374,0.47206002473831177,0.4714343845844269,-0.94004225730896,-0.9178234338760376,0.0,0.0,0.0,0.0,-0.036576345562934875,-0.09685087949037552,0.04657626152038574,-0.044725723564624786,0.100716233253479,0.04254281520843506,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.02569621428847313,8.518176164429292e-10,1.0053508281707764
19,0.09500000000000001,0,0.4096006155014038,-0.019998596981167793,0.020114688202738762,0.4717484712600708,0.4710332453250885,-0.9398512244224548,-0.9178137183189392,0.0,0.0,0.0,0.0,-0.03657602518796921,-0.09685087203979492,0.04657629132270813,-0.04458785802125931,0.10071627050638199,0.042573973536491394,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.02573232911527157,8.572272336415665e-10,1.0053871870040894
20,0.10000000000000002,0,0.4095853567123413,-0.01999855972826481,0.020154962316155434,0.4716389775276184,0.47088533639907837,-0.939771294593811,-0.9178105592727661,0.0,0.0,0.0,0.0,-0.03657574951648712,-0.09685087203979492,0.046576738357543945,-0.0445287749171257,0.1007162407040596,0.042587339878082275,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.025743819773197174,8.589507438649946e-10,1.0054025650024414
21,0.10500000000000002,0,0.409516841173172,-0.019999999552965164,0.02207465097308159,0.4682091176509857,0.46732640266418457,-0.9392526149749756,-0.9175110459327698,0.0,0.0,0.0,0.0,-0.03661533445119858,-0.0968509092926979,0.04656018316745758,-0.04438232630491257,0.100716233253479,0.042600229382514954,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.026294611394405365,9.407501444513855e-10,1.0054826736450195
22,0.11000000000000003,0,0.40956366062164307,-0.01999880000948906,0.023000655695796013,0.4667760133743286,0.46607446670532227,-0.9393984079360962,-0.9173799157142639,0.0,0.0,0.0,0.0,-0.03664074093103409,-0.09685087949037552,0.046548306941986084,-0.0446486696600914,0.1007162556052208,0.042536184191703796,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.026555020362138748,9.801964795386198e-10,1.0054419040679932
23,0.11500000000000003,0,0.4095616340637207,-0.019998662173748016,0.023282039910554886,0.46629348397254944,0.4655991792678833,-0.9393585324287415,-0.9173367619514465,0.0,0.0,0.0,0.0,-0.036647409200668335,-0.09685088694095612,0.04654483497142792,-0.044661134481430054,0.1007162481546402,0.042531222105026245,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.026635147631168365,9.921959920333734e-10,1.0054457187652588
24,0.12000000000000004,0,0.40955016016960144,-0.019998610019683838,0.023357346653938293,0.46613433957099915,0.46541497111320496,-0.9392912983894348,-0.9173240065574646,0.0,0.0,0.0,0.0,-0.03664848208427429,-0.09685090184211731,0.046544477343559265,-0.04462215304374695,0.10071626305580139,0.04253987967967987,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.02665654569864273,9.954036483961204e-10,1.0054576396942139
25,0.12500000000000003,0,0.4095440208911896,-0.019998611882328987,0.023379720747470856,0.4660794138908386,0.4653457999229431,-0.9392585158348083,-0.9173195362091064,0.0,0.0,0.0,0.0,-0.03664752095937729,-0.09685086458921432,0.046544477343559265,-0.04459966719150543,0.1007162481546402,0.042544662952423096,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.02666284516453743,9.963451175210025e-10,1.0054638385772705
26,0.13000000000000003,0,0.40954187512397766,-0.01999860256910324,0.023388506844639778,0.46605926752090454,0.46532106399536133,-0.9392479658126831,-0.9173179864883423,0.0,0.0,0.0,0.0,-0.03664776682853699,-0.09685086458921432,0.046544820070266724,-0.04459291696548462,0.1007162407040596,0.04254661500453949,-3.7737855507202767e-08,-0.09685084968805313,0.0,-2.981977331728558e-08,0.10071631520986557,0.0,-0.026665396988391876,9.967282554868007e-10,1.0054662227630615
